"title","subtitle","place","period","publisher","periodicity","language"
"Aurora : jornal litterario, poetico e recreativo.","","Rio de Janeiro, RJ","1865","[s.n.]","","por"
"Aurora","jornal litterario, poetico e recreativo","Rio de Janeiro","1865","","Desconhecida","por"
"Aurora","Orgam literario, critico e noticioso","Laguna, SC","1902","Typ. d'O Jovem","Desconhecida","por"
"Aurora","periodico scientifico e litterario dos academicos Olindenses","Pernambuco","1849","Typ. Imparcial, da Viuva Roma e Filhos","Desconhecida","por"
"Aurora Acadêmica","periodico scientifico e litterario","Rio de Janeiro, RJ","1866-","Typ. Fluminense de D.L. dos Santos","","por"
"Aurora Aterradense","folha religiosa, litteraria, noticios, agricola e commercial","Aterrado, MG","1883","Typ. da Aurora Aterradense","Semanal","por"
"Aurora Aterradense","folha religiosa, litterária, notíciosa, agrícola e commercial","Aterrado, MG","","Typ. da Aurora Aterradense","Semanal","por"
"Aurora Atheniense","revista mensal dos estudantes do Collegio Atheneu Bahiano","Salvador, BA","[1879]-","Typ. de Franca Guerra","Semanal","por"
"Aurora Cearense : jornal illustrado, litterario, scientifico e noticioso","","Fortaleza, CE","1866-","Typ. da Aurora Cearense","Semanal","por"
"Aurora da Bahia : folha politica e commercial","","[S.l.]","1836-","Typ.da Aurora de Serva & C.","Irregular","por"
"Aurora Escosseza","jornal maconico","Rio de Janeiro, RJ","1881-","Typ. Aurora Escosseza","Mensal","por"
"Aurora Fluminense","","Rio de Janeiro, RJ","1855","Typ. do Republico","2 vezes por semana","por"
"A Aurora","orgam social","Silveiras, SP","","Typ. da aurora","Semanal","por"
"A Aurora","periodico litterario e chistoso","Pão d'Assucar [Pão de Açúcar, AL]","1883-","Typ. do Trabalho","Indeterminada","por"
"A Aurora","periodico litterario e critico","Rio de Janeiro, RJ","1851-","Typ. de F. A. de Almeida","Semanal","por"
"Austria","blatter der unterhaltung und des wissens","Porto Alegre","[1929?]","Offiz. Monatsblatt des Osterr. Vereins in Porto Alegre","Desconhecida","por"
"Arauto","folha da manha","Laguna, SC","1918","[s.n.]","Desconhecida","por"
"Automobilismo","","São Paulo, SP","1926 - 1931","","Mensal","por"
"Automoveis & acessorios","a revista comercial do ramo","Rio de Janeiro, RJ","1946-","Bloch","Mensal","por"
"Automovel Club","orgao official do Automovel Club do Brasil","Rio de Janeiro, RJ","1925-","Automovel Club do Brasil","Desconhecida","por"
"Automóvel Clube","Revista do Automovel Clube do Brasil","Rio de Janeiro, RJ","1950 a 1974","","Mensal","por"
"Autonomista : periodico noticioso, commercial e litterario","","Corumbá, MS","1904-1909","[s.n.]","","por"
"Autonomo","hebdomadario republicano","Queluz de Minas [Conselheiro Lafaiete, MG]","1900-1902","[s.n.]","","por"
"Auto-propulsao","","Rio de Janeiro, RJ","1915-","[s.n.]","Desconhecida","por"
"Autores e Livros : suplemento literario de A Manhã","","Rio de Janeiro, RJ","1941","[s.n.]","Semanal","por"
"Auxiliador da Administraçao do Correio da Corte","","Rio de Janeiro, RJ","1856-1857","[s.n.]","","por"
"A Avenida","semanario critico e literario","Fortaleza","1889","Officinas do Cearense","Semanal","por"
"Avulso","","Rio Grande do Norte","1880","[s.n.]","","por"
"Aza Negra","periodico semanario","Recife, PE","1882","Typ. da Aza Negra","Semanal","por"
"Aza-Negra","periodico semanario","Recife, PE","1882","Typ. da Aza Negra","Semanal","por"
"Azar","orgao critico, litterario e de grande reportagem","Florianópolis","1911","","Desconhecida","por"
"Gazeta da Campanha","","Campanha, MG","1891-","[s.n.]","Semanal","por"
"Gazeta do Brasil","","Rio de Janeiro, RJ","1827-1828","Typ. da Gazeta","","por"
"Gazeta do Brazil : periodico politico, litterario e commercial","","Rio de Janeiro, RJ","1860-","Typ. de Quirino e Irmao","Semanal","por"
"Azul : pela arte","","Curitiba, PR","1900","Typ. Beobacter","Quinzenal","por"
"O Azul","orgam litterario e recreativo","Florianópolis, SC","1908","[s.n.]","Desconhecida","por"
"A Baboza","","Rio de Janeiro, RJ","1833-","Typ. F.L. de Britto e C.","Semanal","por"
"O Baependyano : folha scientifica, litteraria e noticiosa","","Baependi, MG","1877-1889","Typ. do Baependiano","","por"
"Bahia Economica ","assumptos economicos, politicos e noticiosos.","Bahia [Salvador, BA]","1936","","Desconhecida",""
"Bahia Illustrada","","Salvador, BA","[1867]-1870","Typ. do Pharol","Semanal","por"
"Bahia illustrada","","Rio de Janeiro, RJ","1917-1933","","Mensal","por"
"Bahia Litteraria","","Bahia [Salvador, BA]","1870","Typ. do Diario da Bahia","Quinzenal","por"
"Bahia Tradicional e Moderna","","Salvador, BA","1939","Diretoria de Cultura e Divulgação do Estado da Bahia","Indeterminada",""
"Baixo-Amazonas : folha politica, noticiosa, litteraria e commercial","","Santarém, PA","[1872-1896]","Typ. do Baixo-Amazonas","Semanal","por"
"Balanço da Receita e Despeza da Republica","","Rio de Janeiro, RJ","1892","Imprensa Nacional","Anual",""
"Balanço da Receita e Despeza do Imperio no exercicio de 1856-1857","","Rio de Janeiro, RJ","1859","Typ. Nacional","Anual",""
"O Baluarte","","Fortaleza","1898-1899","Typ. Apollo","Trimensal","por"
"O Bambino","ravista do club dos fenianos","Rio de Janeiro, RJ","1884","Typ. Hildebrandt","Desconhecida","por"
"Bandeira de Retalhos","","Pernambuco","1832","Typ. Fidedigna","Irregular","por"
"O Bandolim","quarteto dedicado ao bello sexo do Congresso do Catete","Rio de Janeiro, RJ","1889-","Typ. Lith. Bittencourt, Vieira e C.","Mensal","por"
"Barao de Macahubas","periodico scientifico, litterario e noticioso","Bahia [Salvador, BA]","1886-","[s.n.]","Quinzenal","por"
"O Barco dos Traficantes","","Rio de Janeiro, RJ","1861-","Typ. Popular","2 vezes por semana","por"
"O Barreirense","periodico hebdomadario","Barreiros [São José do Barreiro, SP]","1876-1877","Typ. do Barreirense","Semanal","por"
"O Barreirense","periodico hebdomadario","Barreiros [São José do Barreiro, SP]","1876-","Typ. do Barreirense","Semanal","por"
"O Barriga Verde","semanario illustrado","Florianópolis, SC","1928","","Desconhecida","por"
"Ba-ta-clan","chinoiserie franco-bresilienne","Rio de Janeiro, RJ","1867-","Imp. et Lith. de Ba-ta-clan","Semanal","fre"
"O Batel","","Granja","1892","[s.n.]","3 vezes por mês","por"
"O Batel","periodico recrativo, critico e litterario","Sobral","1886","Typ. da Gazeta do Sobral","Semanal","por"
"O Baturite","neutro entre partidos politicos","Baturite, CE","1878","Typ. do Baturite","Desconhecida","por"
"Baturiteense","orgam dos interesses do municipio","Baturite, CE","","","Desconhecida","por"
"Bazar Volante","","Rio de Janeiro, RJ","1863-1867","Typ. do Bazar Volante","Semanal","por"
"Beach News","a comunicação recreativa e otimista dos praianos","Santos, SP","1973","","Indeterminada","por"
"Beija-flor","annaes brasileiros de sciencia, politica, litteratura","Rio de Janeiro, RJ","1830","[s.n.]","","por"
"O Beija-Flor","","Rio de Janeiro, RJ","1883-","[s.n.]","Semanal","por"
"O Beija-Flor","jornal de instruccao e recreio","Rio de Janeiro, RJ","1849-","Typ. de J. Villeneuve e C.","Semanal","Texto em portugues"
"O Beija-Flor","jornal joco-serio e noticioso","Maceió, AL","","","Desconhecida","por"
"O Beijo","publicação semanal de modinhas, recitativos, lundús e poesias diversas, dedicada ao bello sexo","Rio de Janeiro, RJ","1881-    ","Typ. Economica","","por"
"Beira-mar","","Rio de Janeiro, RJ","1922","","Mensal","por"
"O Belecho","orgão dos filhos da Candinha","Fortaleza","1899","Typ. Guttenberg","Desconhecida","por"
"Bella Fluminense","jornal variado","Rio de Janeiro, RJ","1864","Typ. Popular de Azevedo Leite","Desconhecida","por"
"Bellas-Artes","","Rio de Janeiro, RJ","1875-","Typ. Cosmopolita","Quinzenal","por"
"Bello Sexo : periodico religioso, de instruccao e recreio, noticioso e critico moderado","","Rio de Janeiro, RJ","1862-","Typ. Popular, de Azeredo Leite","Semanal","por"
"O Bem da Ordem","","Rio de Janeiro, RJ","1821","Typ. Real","Irregular","por"
"Bem Publico","Jornal Catholico, Scientifico e Litterario","Lisboa [Portugal]","1857 a 1877","","Semanal","por"
"Bemtevi","periodicos semanal jornal critico e humoristico","Blumenau, SC","1923","","","por"
"O Bem-te-vi","jornal joco-serio","Rio de Janeiro, RJ","1867","Typ. S.C.A. Quintanilha","Desconhecida","por"
"Bentevi","jornal critico e humoristico","Blumenau, SC","1923","","Desconhecida",""
"Bibliographia Brazileira","revista mensal da imprensa brasileira","Rio de Janeiro, RJ","1888-","Typ. Montenegro","Mensal","por"
"Bibliotheca das Senhoras","","Rio de Janeiro, RJ","1874-","Typ. de Santos e Correa","","por"
"O Bicho","jornal diario util e agradavel, dedicado aos amantes de todos os sports","Rio de Janeiro, RJ","1904]-","[s.n","Diária","por"
"O Bicho","periodico critico e litterario","Rio de Janeiro, RJ","1882-1883","Typ. Economica","Quinzenal","por"
"O Bico de Gaz","","Porto [Portugal]","1854","[s.n.]","Semanal","Texto em portugues"
"Bilontra : orgao desafinado, monarchista republicano","","Fortaleza, CE","1891-","","Duas vezes por semana",""
"O Bilontra","orgam critico e noticioso","Florianópolis, SC","1898","","Desconhecida","por"
"Binoculo","","Rio de Janeiro, RJ","1881-1882","Typ. e Lith. de Almeida Marques","Semanal","por"
"O Binoculo","periodico humoristico e noticioso","Florianópolis, SC","","","Desconhecida","por"
"O Binóculo","revista semanal de variedades, noticiosa, critica, litteraria","Recife, PE","[1881-1898]","Typ. do Diário","Semanal","por"
"Bisturi","orgam independente e critico","Florianópolis, SC","1910","","Desconhecida","por"
"O Bisturi","critico e noticioso","Florianópolis, SC","1916","[s.n.]","Desconhecida","por"
"O Bisturi","periodico critico, satyrico e noticioso","Rio de Janeiro, RJ","","","Desconhecida","por"
"Blondinista","revista critica, litteraria e noticiosa","Laguna, SC","1893","[s.n.]","Desconhecida","por"
"Blumenau em cadernos","","Blumenau, SC","1957-","O Arquivo","Mensal","por"
"Blumenauer Zeitung","","Blumenau, SC","1891-1898","","Desconhecida","ger"
"Bôa Esperança","orgam municipal","Boa Esperança, MG","1902","","Semanal",""
"Boa nova","revista mensal ilustrada","Rio de Janeiro, RJ","1936-","Empreza Graphica Boa Nova","Mensal","por"
"A Boa Nova","tudo o que for verdadeiro, honesto, justo, sancto, amavel","Belém, PA","1871-1883","Typ. da Estrela do Norte","Semanal","por"
"Boa Vista","","Boa Vista, RR","1954","","Desconhecida","por"
"O Bocayu","","Cidade do Pomba [Rio Pomba, MG]","1882","Typ. do Bocayu","Semanal","por"
"Bocayuva","orgão republicano e dos interesses geraes da provincia","[S.l.]","1882-1883","Typ. da Tribuna Livre","Irregular","por"
"O Bodoque Magico","periodico, satyrico, original, destemido, severo, imparcial","Rio de Janeiro, RJ","1851","Typ. F.A. de Almeida","Desconhecida","por"
"O Bogary","orgao oficial do Congresso Castelense","Rio de Janeiro, RJ","1901-","[s.n.]","Desconhecida","por"
"O Bohemio","neutro e humoristico","Fortaleza","1900","Typ. Universal","Semanal","por"
"O Bohemio","orgam critico, humoristico e noticioso","Petrópolis, RJ","","","Desconhecida","por"
"Boi de mamão / Fundacao Catarinense de Cultura","","Florianópolis, SC","1980-","a Fundação","","por"
"Boletim","","Cuiabá, MT","1878","Typ. do Liberal","Desconhecida","por"
"Boletim ABI","","Rio de Janeiro, RJ","1974-1988","Associação Brasileira de Imprensa","","por"
"Boletim administrativo","","Brasília, DF","[1985?-1989?]","A Divisao","Quinzenal","Português"
"Boletim anti-alcoolico","","Florianópolis, SC","1932","","","por"
"Boletim Commercial","publicação quinzenal sob os auspicios da associação Commercial de Florianopolis","Florianópolis, SC","1918-","","","por"
"Boletim da A Mutualidade-Garantia","orgao dos interesses desta Sociedade, preventiva de Renda e Economia","Rio de Janeiro, RJ","1905","A Mutualidade","Trimestral","por"
"Boletim da alfandega","","Rio de Janeiro, RJ","1883-1889","Typ. da Alfandega","","por"
"Boletim da Alianca Anarquista do Rio de Janeiro","","Rio de Janeiro, RJ","1918","[s.n.]","Mensal","por"
"Boletim da Associação Brasileira de Imprensa","","Rio de Janeiro, RJ","1952-1962","ABI","Mensal","por"
"Boletim da Associação Comercial de Passos","orgam das classes comerciais e industriais de Passos","Passos, MG","1937","","Desconhecida",""
"Boletim da Collecção de jornaes, revistas, boletins, pamphletos [e] polyanthéas","Ano I.","Campos dos Goytacazes, RJ","00/04/1898","","","por"
"Boletim da Comissão Catarinense de Folclore","","Florianópolis, SC","[1949]-","Comissao Catarinense de Folclore","Desconhecida","por"
"Boletim da Cooperativa Central de Cacauicultores Bahianos","","Bahia [Salvador, BA]","1942-1943","Cooperativa Central de Cacauicultores Bahianos","Mensal",""
"Boletim da Directoria da Agricultura, Viação, Industria e Obras Publicas do Estado da Bahia","","Salvador, BA","[1903?]-","Officinas do ""Diario da Bahia""","Desconhecida","Texto em português"
"Boletim da Diretoria de Instrução Pública","","Florianópolis, SC","1934","","Indeterminada","por"
"Boletim da Ilustrissima Camara Municipal da Corte","","Rio de Janeiro, RJ","1862-1874","[s.n.]","","por"
"Boletim da Liga dos Institutos de Ensino da Bahia","","Salvador, BA","1932","","Bimensal",""
"Boletim da sociedade de geographia do Rio de Janeiro","","Rio de Janeiro, RJ","1885-","Typ. Perseverança","","por"
"Boletim da Sociedade Libertadora Norte-Rio-Grandense","","Natal, RN","1888","[s.n.]","","por"
"Boletim de Ariel","mensário crítico-bibliográphico [de] lettras, artes [e] sciencias","Rio de Janeiro, RJ","1931-1977","Ariel Ed.","Mensal","Texto em português"
"Boletim de Comércio","","Salvador, BA","1940","","",""
"Boletim de educação e saúde","","Salvador, BA","1941","Secretaria de Educação e Saúde [do] Estado da Bahia","",""
"Boletim de Eugenía","","Rio de Janeiro, RJ","1929-1932","Instituto Brasileiro de Eugenia","Mensal",""
"Boletim de Informações","","Florianópolis, SC","","","Bimestral","por"
"Boletim de Informações","publicação bi-mensal do clube dos funcionarios publicos civis de S. Catarina","Florianópolis, SC","1934","","Bimensal","por"
"Boletim de Noticias","","Belém, PA","1873","Typ. do Futuro","Desconhecida","por"
"Boletim do Conselho Federal de Cultura","","Rio de Janeiro, RJ","1970","","Trimestral",""
"Boletim do Criador","informativo mensal da cooperativa regional agro-pecuaria","Santa Rita do Sapucaí, MG","","","Desconhecida","por"
"Boletim do Criador","informativo mensal da cooperativa regional agro-pecuária","Santa Rita do Sapucaí, MG","1982","","Desconhecida",""
"Boletim do Cruzeiro","regulamento da reforma eleitoral","Rio de Janeiro, RJ","1881","[s.n.]","","por"
"Boletim do expediente do governo","","Rio de Janeiro, RJ","1859-1862","Typ. Imperial e Constitucional, de J. Villeneuve","","por"
"Boletim do grande oriente do Brazil : jornal official da maconaria brazileira","","Rio de Janeiro, RJ","1871-1899","[s.n.]","","por"
"Boletim do Grande Oriente Unido e Supremo Conselho do Brazil : jornal offical da maconaria brazileira","","Rio de Janeiro, RJ","1873-1877","Typ. do Grande Oriente Unido e Suprenmo Conselho do Brasil","","por"
"Boletim do Imperial Instituto Medico Fluminense","","Rio de Janeiro, RJ","1867-","Typ. do Apostolo","Mensal","por"
"Boletim do Museu Goeldi (Museu Paraense) de Historia Natural e Ethnographia","","Pará, PA","1894-1956","[s.n.]","","por"
"Boletim dos Actos do Governo","","Rio de Janeiro, RJ","1835","Typ. Nacional","Desconhecida","por"
"Boletim dos grandes clientes Telesc","","Florianópolis, SC","1990","","","por"
"Boletim eleitoral","","Pernambuco","1834","[s.n.]","","por"
"Boletim Eleitoral","","Pernambuco","1863","Typ. Commercial","Desconhecida","por"
"Boletim Escolar","","Itajaí, SC","1905","Typ. do Pharol","Mensal","por"
"Boletim Informativo do PEE/SE","","Florianópolis, SC","1985","","","por"
"Boletim informativo do PLANOR","","Rio de Janeiro, RJ","1994-","Planor","Indeterminada","Texto em português"
"Boletim Liberal","","Florianópolis, SC","1929","","Desconhecida","por"
"Boletim Mensal da Mortalidade da Cidade do Rio de Janeiro : Inspectoria Geral de Hygiene","","Rio de Janeiro, RJ","1886-","Typ. Imprensa Nacional","Mensal","por"
"Boletim Mensal da Mortalidade da Cidade do Rio de Janeiro","","Rio de Janeiro, RJ","1886-","Typ. Imprensa Nacional","Mensal","por"
"Boletim Mensal do Instituto Brasieiro de Educação, Ciência e Cultura","","Rio de Janeiro, RJ","1952","","Mensal","por"
"Boletim Official","","Teresina, PI","1887-","Typ. da Imprensa","Diária","por"
"Boletim Official","","Manaus, AM","1872-1873","Typ. de Mendes e Filhos","Desconhecida",""
"Boletim policial","","Rio de Janeiro, RJ","1907-","Imprensa Nacional","Mensal","por"
"Boletim Trimestral","Sub Comissão Catarinense de Folclore","Florianópolis, SC","1949 a 1997","","","por"
"Boletin Cultural Mexicano","","Cidade do México [México]","1952-1957","","Mensal","spa"
"Boletins da Sociedade de Medicina e Cirurgia de Juiz de Fora","","Juiz de Fora, MG","1891","Typ. Pereira","","por"
"Bom-Despacho","","Bom Despacho, MG","1927-1978","","",""
"O Bond","jornal das moças","Fortaleza","1890-1891","Typ. do Bond","Diária","por"
"O Bond","orgao social","Rio de Janeiro, RJ","1881-","[s.n.]","2 vezes por semana","Texto em portugues"
"Borboleta","publicacao do Cassino Comercial","Rio de Janeiro, RJ","1902","Typ. A. Pinto e Braga","Desconhecida","por"
"A Borboleta","jornal recreativo, jovial e poetico","[S.l.]","1860-","Typ. Liberal Parahybana","Semanal","por"
"A Borboleta","periodico litterario e recreativo","Aracaju, SE","","Typ. Uniao Liberal","Desconhecida","por"
"A Borboleta","periodico litterario, noticioso e joco serio","Maceió, AL","1876-","Typ. Social, de Amintas e Soares","3 vezes por mês","por"
"Bota-Fogo","","Desterro","1858","Typ. Desterrense de José Joaquim Lopes","Semanal","por"
"Bota-Fogo","","Desterro [Florianópolis, SC]","1858","Typ. Desterrense de José Joaquim Lopes","Semanal","por"
"Botetim da LBA","","Bahia [Salvador, BA]","1948-1949","","",""
"Botija Parda","","Araguari, MG","1977","[s.n.]","Semanal","por"
"Botija Parda","","Araguari, MG","","","Desconhecida","por"
"Brado Conservador : folha politica, moral e noticiosa","","Assu, RN","1876-1890","Typ. do Brado Conservador","Semanal","por"
"O Brado da Patria","","São Paulo, SP","1865","Typ. Allemã de H. Schroeder","Semanal","por"
"Brado de Caxias : throno e liberdade","","Caxias, MA","1845-","Typ. Imparcial Caxiense de J.C. Leao","Semanal","por"
"O Brado do Amazonas","","Rio de Janeiro, RJ","1849-","Typ. Carioca de J.I. da Silva e Comp.","Indeterminada","por"
"Brado do Sul","","Pelotas, RS","1859-1861","Typ. Commercial","3 vezes por semana","por"
"Brado Federal","","Bahia [Salvador, BA]","1890","[s.n.]","Desconhecida","por"
"O Brado Maranhense","","[S.l.]","1846","Typ. de R.A.R. d'Araujo","Semanal","por"
"O Brado Natalence","","Rio Grande do Norte","1849-","Typ. Americana","Irregular","por"
"Brasil Açucareiro","","Rio de Janeiro, RJ","1932-1979","","Quinzenal",""
"O Brasil Catholico","","Tijucas, SC","1921","[s.n.]","Quinzenal","por"
"Brasil Commercial","","Rio de Janeiro, RJ","1858","[s.n.]","Desconhecida","por"
"Brasil constroi / Ministerio da Viacao e Obras Publicas, Servico de Documentacao, Seccao de Publicacoes","","Rio de Janeiro, RJ","1948-","Graf. Nova Era","Desconhecida","por"
"Brasil e Portugal : jornal dedicado aos interesses dos dois paises. sciencias, artes, commercio e industria","","Rio de Janeiro, RJ","1871-","[s.n.]","Quinzenal","por"
"Brasil feminino","da mulher, para a mulher, pela mulher","Rio de Janeiro, RJ","1932","","Mensal",""
"Brasil Forense","registro de julgamento e julgados","Rio de Janeiro, RJ","1903","Typ. do Livro do Povo","Desconhecida","por"
"Brasil illustrado","","Rio de Janeiro, RJ","1908","","Desconhecida",""
"Brasil industrial","industria, commercio, litteratura [e] artes","Rio de Janeiro, RJ","1916-","[s.n.]","Desconhecida","por"
"Brasil Moda","","São Paulo, SP","1926","Empreza Lilla-Editora Internacional","Mensal",""
"Brasil mulher","","São Paulo","1975-[1980?]","Sociedade Brasil Mulher","Irregular","Texto em português"
"Brasil Novo","quinzenario noticioso e independente","Cruzeiro do Sul, AC","1937","","Indeterminada",""
"Brasil revista","passando em revista o Brasil","Rio de Janeiro, RJ","1933","","Anual","por"
"Brasil social","revista quinzenal illustrada","Rio de Janeiro, RJ","1921","Offic. da Empreza Brasil Ed.","Desconhecida",""
"O Brasil","orgam critico, litterario e noticioso","Florianópolis, SC","1901","","Quinzenal","por"
"O Brasil","","Rio de Janeiro, RJ","1822-","Typ. dos Annaes","Desconhecida","por"
"Brasil, Urgente","","São Paulo, SP","1963-1964","[s.n.]","","por"
"O Brasileiro Imparcial","","Rio de Janeiro, RJ","1830-","Typ.do Diario","2 vezes por semana","por"
"Brasileiro Pardo","","Rio de Janeiro, RJ","1833-","Typ. Paraguassu, de D. da F. Pinto","Desconhecida","por"
"O Brasileiro","","Rio de Janeiro, RJ","1832-","Typ. de Gueffier e C.","2 vezes por semana","por"
"Brasil-Hespanha-Portugal","","Rio de Janeiro, RJ","1881","","",""
"Brasiliana","revista de boas letras : lingua portuguesa, sciencia, arte e filosofia","Rio de Janeiro, RJ","1923","Gimnasio 28 de Setembro","Trimestral","por"
"Brasilidade","","Santos, SP","1943","","","por"
"Brasil-Oeste","","São Paulo, SP","1956 - 1965","","Mensal","por"
"Brazil : orgao do Partido Conservador","","","","","","por"
"Brazil","folha semanal dedicada a politica, litteratura, commercio, agricultura, sciencias e artes","Rio de Janeiro, RJ","1881-","Typ. Economica","Semanal","por"
"Brazil","orgam hebdomadario","Blumenau, SC","1919","[s.n.]","Semanal","por"
"Brazil Americano","","Rio de Janeiro, RJ","1875-1876","Typ. Cosmopolita","","por"
"O Brazil Elegante","jornal de modas das famílias brasileiras","Rio de Janeiro, RJ","1904","Typ. Bernard Freres","Quinzenal","por"
"Brazil Federal","orgão do grupo republicano de Goyaz","[S.l.]","1886","Typ. do Goyaz","2 vezes por mês","por"
"Brazil Ferro Carril","","Rio de Janeiro, RJ","1910 a 1950","","Mensal","por"
"Brazil Litterario","","Rio de Janeiro, RJ","1864-","Typ. Actualidade","Semanal","por"
"Brazil Livre : orgam official da allianca liberal","","Sobral, CE","1930-1931","[s.n.]","","por"
"Brazil Moderno","revista mensal de artes e lettras","Rio de Janeiro, RJ","1906","","Mensal",""
"Brazil Operario","orgao das classes proletarias","Rio de Janeiro, RJ","1903-","[s.n.]","Quinzenal","por"
"Brazil Philatelico","","Campos dos Goytacazes, RJ","1892-","[s.n.]","Mensal","por"
"O Brazil","","Rio de Janeiro, RJ","","","Desconhecida","por"
"O Brazil","jornal catholico, litterario e noticioso","Rio de Janeiro, RJ","1857","Typ. Americana de Jose Soares de Pinho","Indeterminada","por"
"O Brazil","jornal scientifico, litterario e artistico","Rio de Janeiro, RJ","1865-1866","Typ. Imp. de Brito e Irmaos","Semanal","por"
"O Brazil","Ordem e Progresso","Fortaleza","","","Desconhecida","por"
"O Brazil","orgam do Partido Republicano","Caxias, MA","1909-","[s.n.]","Desconhecida","por"
"Brazila","revuo esperantista","Rio de Janeiro, RJ","1906","[s.n.]","Desconhecida","por"
"Brazila","revuo esperantista","Rio de Janeiro, RJ","1906","","Desconhecida","por"
"Brazila Esperantisto","oficiala organo de ""Brazila Ligo Esperantista""","Rio de Janeiro, RJ","1908","","","esp"
"Brazilea","revista mensal [de] sociologia, arte [e] critica","Rio de Janeiro, RJ","1917","","Mensal",""
"Brazil-Theatro","","Rio de Janeiro, RJ","1901-1907","Typ. Leuzinger","","por"
"Brazopolis","orgão oficial dos poderes municipais","Brazópolis, MG","1933-1953","[s.n.]","Semanal","por"
"O Break","periodico chistoso e humoristico","Rio Claro, SP","1877","Typ. Rio Clarense","Bimensal","por"
"LE Bresil republicain","journal bi-hebdomadaire","Rio de Janeiro, RJ","1890-","[s.n.]","Desconhecida","por"
"Breviario : revista de arte","","Curitiba, PR","1900","[s.n.]","","por"
"The British and American Mail","","Rio de Janeiro, RJ","1879","","Desconhecida","eng"
"Brusquer Zeitung","organ zur torderung der interessen brusques","Brusque, SC","","[s.n.]","Desconhecida","por"
"O Bugre","","Piracicaba, SP","1878","Typ. do Piracicaba","Semanal","por"
"Buletim da Legalidade no Serro","","Serro, MG","1842","Typ. de Verissimo P. dos R. e Socios","Desconhecida","por"
"Bummelauer Fastnachts","Zeitung","Blumenau, SC","1903-","[s.n.]","Indeterminada","por"
"Bummelauer Fastnachts-Zeitung","Unabhängiges deutsches Narren-Blatt","Blumenau, SC","1903-1905","Verlag von Schwarzkoppen u. Comp.","Indeterminada","ger"
"O Burro Magro","","Rio de Janeiro, RJ","1833-1834","Typ. de Lessa e Pereira","Mensal","por"
"O Buscape","folha critica, noticiosa, litteraria e imparcial","Santos, SP","1875-","Typ. Imparcial","Desconhecida","por"
"Bussola da Liberdade","periódico político e litterário","Recife, PE","1831","Typ. Fidedigna","Duas vezes por semana","por"
"C.E.J.","orgão do centro de estudos juridicos","Belo Horizonte, MG","1953","","Desconhecida",""
"O Cabo friense","noticioso e commercial","Cabo Frio, RJ","1863-[1864?]","Typographia do Cabo Friense","Semanal","Texto em português"
"O Caboclo","periodico politico-patriotico liberal, litterario e universal","Rio de Janeiro, RJ","1849-","Typ. Americana de I. P. da Costa","Bissemanal","por"
"Cabrião","","São Paulo, SP","1866-1867","Typ. Imparcial","","por"
"O Cabrito","","Rio de Janeiro, RJ","1833","Typ. de Miranda e Carneiro","Desconhecida","por"
"O Cachoeirano","orgao do povo","Cachoeiro de Itapemirim, ES","","Typ. do Cachoeirano","Semanal","por"
"Cadastro","commercial, industrial, agricola e informativo do Estado de Sergipe","Aracaju, SE","1933","Offic. Graph. da Escola de Aprendizes Artifices de Sergipe","Desconhecida",""
"Cadernos de jornalismo e comunicação","","Rio de Janeiro","1968-","Edições Jornal do Brasil","Mensal","por"
"Cadernos de seguro","","Rio de Janeiro, RJ","1981-","FUNENSEG","Bimestral",""
"Cadernos de seguro","teses","Rio de Janeiro, RJ","1996-","FUNENSEG","Desconhecida",""
"Cahete","orgao republicano nativista","Maceió, AL","1896","[s.n.]","Semanal","por"
"Caixa Auxiliar","orgam de propaganda da caixa auxiliar da ponte Hercilio Luz Limitada","Florianópolis, SC","1927-1928","Imprensa Official","Desconhecida","por"
"Caixeiro Viajante","","São Paulo, SP","","","Desconhecida","por"
"O Caixeiro","jornal litterario, noticioso e critico","Aracaju, SE","1880","Typ. do Diario de Sergipe","Desconhecida","por"
"O Caixeiro","orgao dedicado a classe caixeiral","Rio de Janeiro, RJ","1881","Typ. Montenegro","Quinzenal","por"
"Calendário e dados Astronomicos","extrahidos do annuário publicado pelo Observatório do Rio de Janeiro para o anno de 1892","Rio de Janeiro, RJ","1892","Imp. a vapor H. Lambaerts e Comp.","Anual","por"
"Calendario. Nome hebdomadario do 1o. dia do mez de janeiro de cada anno, desde 1582, epoca da Reforma Gregoriana ate o anno 4000","","Pernambuco","1835","Typ. de Pinheiro e Faria","Desconhecida","por"
"A California","","Rio de Janeiro, RJ","1849-","Typ. Brasiliense","Desconhecida","por"
"Calungasinho : orgao do novo Club Terpsychore","","Rio de Janeiro, RJ","1886-","Typ. Italiana de Leo F. Spandonari","","por"
"Calungasinho","orgao do novo Club Terpsychore","Rio de Janeiro, RJ","1888","Typ. Italiana de Leo F. Spandonari","Semanal","por"
"Camaragibe : bi-semanario politico, litterario, commercial e noticioso","","Passo de Camaragibe, AL","1880-1882","Typ. Camaragibe","","por"
"Camaragibe","bi-semanario politico, litterario, commercial e noticioso","Passo de Camaragibe, AL","1880-","[s.n.]","2 vezes por semana","por"
"A Camelia","orgao do Congresso Terpsychore","Rio de Janeiro, RJ","1888-","[s.n.]","Quinzenal","por"
"Os Camões","semanario popular illustrado","Porto [Portugal]","1880-","Typ. de Arthur Jose de Sousa e Irmao","Semanal","por"
